"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erik\Proyectos\algo_x\lib\utils\scroll_behavior.dart", "Dart", 9, 2, 2, 13
"c:\Users\Erik\Proyectos\algo_x\lib\utils\size_utils.dart", "Dart", 1, 0, 1, 2
"c:\Users\Erik\Proyectos\algo_x\lib\utils\utils.dart", "Dart", 70, 0, 2, 72
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_button.dart", "Dart", 39, 0, 4, 43
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_circle_button.dart", "Dart", 35, 0, 4, 39
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_device_builder.dart", "Dart", 25, 0, 7, 32
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_expandable_text.dart", "Dart", 48, 0, 5, 53
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_text.dart", "Dart", 38, 0, 3, 41
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_top_bar.dart", "Dart", 58, 0, 4, 62
"c:\Users\Erik\Proyectos\algo_x\lib\widgets\app_top_icon_button.dart", "Dart", 29, 0, 3, 32
"Total", "-", 2707, 84, 347, 3138
